all_metrics_no_bins
all_metrics,,,,,,,,,,,,,,
,Z0_opt_bins_val,Z0_opt_bins_train,Z0_opt_bins_test,Z0unc_opt_bins_val,Z0unc_opt_bins_train,Z0unc_opt_bins_test,Z0_40bins_val,Z0_40bins_train,Z0_40bins_test,rel_ewww_highest_bin_val,rel_ewww_highest_bin_train,rel_ewww_highest_bin_test,learning_rate,weight_EWWW
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.1_2133766494112839548,9.52274479586696,9.802853817519950,9.515609464526760,6.583120168571050,6.510287858304070,6.562274650931970,10.091465664049400,10.447457649351800,10.08856737864240,0.186298674334268,0.20291797338667900,0.21514818425688300,7,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_15_0.18_4602757647307720422,7.303139198851290,4.4627410837006000,7.051913840654450,5.295922620191710,2.175895825942560,4.890034725276120,8.021870868433740,7.3569322320559100,7.790077274844740,0.15794058556698600,-0.3484674383434280,0.1427151341142290,15,0.18
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_15_0.05_6913962945106440103,8.855617589126170,9.064503193784620,8.690568000865120,6.407239447988590,6.120124743973010,6.106946912510090,9.258081820554700,9.787478209060370,9.173056398862940,0.23011472939165400,0.2316266422795950,0.22287644229343400,15,0.05
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.12_5668701609158003727,9.57587163498883,10.084592114632700,9.488594675466530,6.616348501499580,6.5045586184532800,6.62197937160498,10.005455713275500,9.575449101619510,9.869863469495600,0.18258952625411200,0.20947525815934600,0.19365109092446700,7,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_20_0.16_8935003183488818196,7.22972701650662,8.830224585544970,7.071783623704030,4.9911342639005700,4.933754911318440,4.911390728345220,7.606700519863840,7.65246493431652,7.468964565602290,0.16570615541687400,0.18405636804667900,0.15213670399128300,20,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.08_8276696158540874188,9.825605667653410,10.775681590685600,9.704616275378880,6.690450484186510,6.568973729420410,6.707630457305420,10.321046946583400,10.179873240527800,10.25970428099600,0.21219603059194100,0.19918029190456800,0.21356889727580600,9,0.08
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.18_1357497269134716466,9.5011940191216,9.906191513228700,9.377798783939720,6.567154046550300,6.826552778279000,6.130894647031310,9.86154548199124,10.057999209559700,9.600370844130430,0.18192050703523900,0.19738763688390600,0.19617267422001200,5,0.18
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.18_3129807916219014110,8.484232717505550,9.748490670573380,8.029318480191050,6.011971271662170,5.1133454212525500,5.380255252095580,8.914477763276160,7.912106643042300,8.681177830504830,0.167002826188339,0.17735879806588,0.14957232468561300,12,0.18
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_8_0.2_3811217661999847124,8.298827238112940,8.909049408391200,8.308160804329890,5.713863856506660,5.843508473738540,5.7153317462063400,8.695146326119750,8.724628168979450,8.74922845161523,0.16179531774958100,0.18058474644597700,0.16664667470602200,8,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_8_0.05_706425845840313648,9.894487772776720,10.767720083626000,9.826994832603450,6.907647788940220,6.833635798733070,6.868137627494850,10.269555690110700,10.077567356233400,10.21793587466860,0.2412397931309980,0.2707138916192200,0.235528099238424,8,0.05
